seq,rtt_ms,status,timestamp
0,0.741,OK,1770639665.670472
1,0.770,OK,1770639665.690612
2,0.855,OK,1770639665.710875
3,0.696,OK,1770639665.730828
4,1.229,OK,1770639665.751456
5,0.845,OK,1770639665.771213
6,0.773,OK,1770639665.791277
7,0.634,OK,1770639665.811285
8,0.879,OK,1770639665.831684
9,1.007,OK,1770639665.851971
10,1.014,OK,1770639665.872103
11,1.005,OK,1770639665.892250
12,0.884,OK,1770639665.912301
13,0.791,OK,1770639665.932360
14,1.017,OK,1770639665.952744
15,0.905,OK,1770639665.972788
16,0.899,OK,1770639665.992944
17,1.014,OK,1770639666.013182
18,1.174,OK,1770639666.033471
19,1.019,OK,1770639666.053483
20,1.023,OK,1770639666.073649
21,1.014,OK,1770639666.093828
22,1.090,OK,1770639666.114063
23,1.013,OK,1770639666.134116
24,1.024,OK,1770639666.154252
25,1.402,OK,1770639666.174740
26,0.831,OK,1770639666.194293
27,0.717,OK,1770639666.214285
28,0.647,OK,1770639666.234323
29,0.645,OK,1770639666.254395
30,0.669,OK,1770639666.274519
31,1.303,OK,1770639666.295306
32,0.866,OK,1770639666.314943
33,1.195,OK,1770639666.335397
34,1.096,OK,1770639666.355452
35,1.154,OK,1770639666.375670
36,2.406,OK,1770639666.397094
37,1.849,OK,1770639666.416701
38,1.000,OK,1770639666.436027
39,2.125,OK,1770639666.457278
40,0.991,OK,1770639666.476269
41,1.303,OK,1770639666.496779
42,1.142,OK,1770639666.516731
43,0.767,OK,1770639666.536483
44,0.603,OK,1770639666.556440
45,0.762,OK,1770639666.576891
46,0.713,OK,1770639666.596952
47,0.789,OK,1770639666.617145
48,0.827,OK,1770639666.637335
49,0.912,OK,1770639666.657565
50,0.894,OK,1770639666.677654
51,2.275,OK,1770639666.699175
52,2.107,OK,1770639666.719161
53,0.708,OK,1770639666.737861
54,0.928,OK,1770639666.758184
55,0.898,OK,1770639666.778284
56,0.843,OK,1770639666.798319
57,0.757,OK,1770639666.818336
58,1.252,OK,1770639666.838938
59,0.584,OK,1770639666.858342
60,0.747,OK,1770639666.878596
61,0.999,OK,1770639666.899022
62,1.648,OK,1770639666.919782
63,1.119,OK,1770639666.939378
64,1.008,OK,1770639666.959433
65,1.004,OK,1770639666.979596
66,0.771,OK,1770639666.999524
67,0.903,OK,1770639667.019796
68,0.860,OK,1770639667.039909
69,2.012,OK,1770639667.061218
70,1.063,OK,1770639667.080433
71,1.123,OK,1770639667.100717
72,1.025,OK,1770639667.120773
73,2.329,OK,1770639667.142244
74,0.904,OK,1770639667.160946
75,0.957,OK,1770639667.181145
76,1.275,OK,1770639667.201643
77,0.972,OK,1770639667.221503
78,1.578,OK,1770639667.242278
79,1.610,OK,1770639667.262412
80,2.460,OK,1770639667.283453
81,0.871,OK,1770639667.302006
82,0.929,OK,1770639667.322203
83,0.996,OK,1770639667.342407
84,1.054,OK,1770639667.362634
85,2.990,OK,1770639667.384737
86,1.762,OK,1770639667.403684
87,0.881,OK,1770639667.423002
88,1.196,OK,1770639667.443404
89,0.647,OK,1770639667.462965
90,0.528,OK,1770639667.482945
91,0.589,OK,1770639667.503172
92,0.676,OK,1770639667.523464
93,0.969,OK,1770639667.543901
94,0.758,OK,1770639667.563833
95,0.903,OK,1770639667.584103
96,1.172,OK,1770639667.604503
97,1.142,OK,1770639667.624638
98,1.088,OK,1770639667.644755
99,1.080,OK,1770639667.664868
100,1.064,OK,1770639667.685008
101,1.371,OK,1770639667.705451
102,1.841,OK,1770639667.726050
103,1.001,OK,1770639667.745362
104,1.125,OK,1770639667.765627
105,0.994,OK,1770639667.785666
106,0.890,OK,1770639667.805707
107,0.916,OK,1770639667.825890
108,1.163,OK,1770639667.846264
109,1.094,OK,1770639667.866322
110,0.902,OK,1770639667.886366
111,0.884,OK,1770639667.906507
112,1.413,OK,1770639667.927211
113,1.060,OK,1770639667.947016
114,1.594,OK,1770639667.967686
115,1.987,OK,1770639667.988232
116,1.080,OK,1770639668.007507
117,1.189,OK,1770639668.027792
118,1.028,OK,1770639668.047752
119,0.726,OK,1770639668.067560
120,0.806,OK,1770639668.087738
121,0.639,OK,1770639668.107700
122,0.793,OK,1770639668.127955
123,1.885,OK,1770639668.149128
124,0.614,OK,1770639668.167963
125,2.103,OK,1770639668.189579
126,1.061,OK,1770639668.208734
127,1.115,OK,1770639668.228946
128,1.072,OK,1770639668.249086
129,1.039,OK,1770639668.269217
130,0.980,OK,1770639668.289299
131,1.239,OK,1770639668.309715
132,1.046,OK,1770639668.329696
133,1.096,OK,1770639668.349910
134,1.145,OK,1770639668.370138
135,0.934,OK,1770639668.390033
136,0.752,OK,1770639668.409968
137,0.704,OK,1770639668.430049
138,2.370,OK,1770639668.451900
139,0.756,OK,1770639668.470395
140,3.484,OK,1770639668.493241
141,0.731,OK,1770639668.510634
142,0.730,OK,1770639668.530798
143,1.035,OK,1770639668.551309
144,0.552,OK,1770639668.570966
145,0.679,OK,1770639668.591212
146,0.637,OK,1770639668.611290
147,0.480,OK,1770639668.631206
148,0.878,OK,1770639668.651749
149,0.737,OK,1770639668.671754
150,1.583,OK,1770639668.692652
151,0.996,OK,1770639668.712166
152,0.586,OK,1770639668.731870
153,0.803,OK,1770639668.752189
154,0.601,OK,1770639668.772187
155,2.405,OK,1770639668.794098
156,0.677,OK,1770639668.812552
157,0.943,OK,1770639668.832924
158,0.835,OK,1770639668.852975
159,0.773,OK,1770639668.873010
160,2.585,OK,1770639668.894920
161,0.866,OK,1770639668.913325
162,1.055,OK,1770639668.933567
163,1.146,OK,1770639668.953814
164,1.039,OK,1770639668.973874
165,2.242,OK,1770639668.995263
166,1.082,OK,1770639669.014213
167,1.422,OK,1770639669.034684
168,0.982,OK,1770639669.054378
169,0.524,OK,1770639669.074047
170,0.664,OK,1770639669.094352
171,0.629,OK,1770639669.114461
172,0.671,OK,1770639669.134604
173,0.729,OK,1770639669.154825
174,1.141,OK,1770639669.175319
175,0.614,OK,1770639669.194876
176,1.264,OK,1770639669.215635
177,0.660,OK,1770639669.235174
178,0.662,OK,1770639669.255280
179,0.579,OK,1770639669.275309
180,0.739,OK,1770639669.295577
181,0.838,OK,1770639669.315792
182,0.831,OK,1770639669.335870
183,0.623,OK,1770639669.355713
184,0.965,OK,1770639669.376140
185,0.765,OK,1770639669.396023
186,2.369,OK,1770639669.417739
187,0.764,OK,1770639669.436300
188,0.773,OK,1770639669.456458
189,1.225,OK,1770639669.477061
190,1.735,OK,1770639669.497731
191,1.031,OK,1770639669.517091
192,0.973,OK,1770639669.537139
193,1.148,OK,1770639669.557469
194,0.789,OK,1770639669.577242
195,0.777,OK,1770639669.597313
196,0.712,OK,1770639669.617370
197,0.756,OK,1770639669.637566
198,0.740,OK,1770639669.657690
199,0.942,OK,1770639669.678044
200,1.003,OK,1770639669.698223
201,1.084,OK,1770639669.718449
202,1.120,OK,1770639669.738652
203,1.135,OK,1770639669.758844
204,3.862,OK,1770639669.781733
205,1.026,OK,1770639669.799057
206,1.049,OK,1770639669.819208
207,0.609,OK,1770639669.838912
208,0.683,OK,1770639669.859104
209,0.689,OK,1770639669.879213
210,0.576,OK,1770639669.899200
211,0.649,OK,1770639669.919435
212,0.855,OK,1770639669.939787
213,0.840,OK,1770639669.959931
214,2.332,OK,1770639669.981604
215,0.902,OK,1770639670.000333
216,1.645,OK,1770639670.021232
217,1.265,OK,1770639670.041016
218,1.172,OK,1770639670.061078
219,1.168,OK,1770639670.081241
220,0.977,OK,1770639670.101163
221,1.650,OK,1770639670.122017
222,0.969,OK,1770639670.141501
223,0.980,OK,1770639670.161679
224,0.974,OK,1770639670.181834
225,1.161,OK,1770639670.202203
226,1.131,OK,1770639670.222301
227,1.094,OK,1770639670.242433
228,1.114,OK,1770639670.262614
229,0.865,OK,1770639670.282541
230,0.917,OK,1770639670.302749
231,0.852,OK,1770639670.322867
232,1.066,OK,1770639670.343207
233,1.125,OK,1770639670.363437
234,1.055,OK,1770639670.383531
235,1.024,OK,1770639670.403655
236,0.720,OK,1770639670.423470
237,0.713,OK,1770639670.443542
238,0.634,OK,1770639670.463535
239,0.710,OK,1770639670.483716
240,0.922,OK,1770639670.504093
241,0.848,OK,1770639670.524095
242,0.808,OK,1770639670.544141
243,1.115,OK,1770639670.564597
244,0.702,OK,1770639670.584321
245,0.716,OK,1770639670.604483
246,2.847,OK,1770639670.626776
247,1.131,OK,1770639670.645219
248,0.951,OK,1770639670.665161
249,2.227,OK,1770639670.686594
250,0.837,OK,1770639670.705393
